country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,,,16.7,17.7,21.4,25.1,28.9,32.7,39.9,43.1,46.4,52.2,52.5,56.2,60,59.9,61.4,66.8,71.2,74.1,80.1,81.5,80.7,
Angola,13.2,29.3,29.4,35.2,50.2,54.7,70.3,93.4,136,121,97,122,122,143,131,108,94,113,84,64.6,55.9,67,101,
Albania,65.5,73.9,78.7,105,137,150,164,209,237,237,254,274,261,276,293,254,275,296,349,366,396,466,414,
Andorra,1300,1380,1580,1890,2060,2280,2160,2380,2770,2660,3280,3550,2790,2890,3000,2670,2770,2880,3160,3020,3280,3540,3190,3650
UAE,706,689,754,785,822,898,1030,1180,1470,1530,1620,1790,1710,1790,1780,1480,1590,1700,1870,1960,2150,2250,2310,
Argentina,702,669,222,260,309,389,452,567,740,779,976,1200,1360,1410,1270,1520,1250,1490,1210,1010,892,1080,1370,
Armenia,25.7,31.9,59.2,66.3,71.7,95.6,125,170,262,248,292,325,332,393,404,366,360,410,428,534,535,596,675,
Antigua and Barbuda,520,572,559,614,598,641,665,714,694,610,724,717,754,739,827,789,818,791,856,808,884,843,1080,
Australia,1630,1550,1750,2230,2740,3000,3170,3790,4080,3990,4950,5880,6040,5810,6100,5290,5420,5780,5830,5530,5950,7040,6730,
Austria,2270,2280,2500,3090,3590,3710,3880,4480,5060,4930,4800,5170,4970,5240,5390,4610,4710,4940,5340,5260,5530,6520,5850,6210
Azerbaijan,18.6,19.2,20.5,23.6,27.2,34.4,49.9,74.7,112,135,153,185,235,252,280,236,170,167,180,199,245,251,304,
Burundi,5.68,7.51,6.47,5.87,8.88,11.1,14.1,15.3,14.7,18.3,24.5,23.2,20,20.3,18.1,17.7,18.6,19.2,18.7,22.2,26.2,23.2,24.7,
Belgium,1850,1880,2080,2810,3310,3410,3550,4060,4650,4640,4530,4930,4700,4950,5080,4440,4540,4780,5180,5030,5140,5740,5400,
Benin,14.4,16.3,16.9,21.1,24.5,25.1,26.6,26.8,28.1,29.6,29.3,31.8,33,33.5,32.4,27.3,28.2,28.1,33.2,28.4,32.6,34,33.9,
Burkina Faso,7.34,7.49,8.49,11.4,17,17.4,20.6,26.9,28.8,30.6,32.7,33.7,33.7,42.3,38.2,32.3,39.5,42.9,38.9,41.1,54.3,57.2,56.8,
Bangladesh,8.28,8.1,9.05,9.98,10.8,11.3,12.1,14,15.6,17.7,20.6,22.8,23.4,27,29.9,33.2,39.3,42.2,44.8,47.8,51,58.5,61.1,
Bulgaria,94.5,120,148,196,233,268,294,361,456,459,485,556,559,547,605,521,562,625,690,698,857,1050,1010,
Bahrain,452,458,469,531,528,558,578,677,735,839,867,922,1040,1120,1120,1130,1100,1080,1040,1030,1100,1180,1110,
Bahamas,949,996,1020,1060,1080,1150,1260,1350,1430,1420,1440,1440,1520,1560,1620,1590,1730,2120,1940,1940,1870,2040,2340,
Bosnia and Herzegovina,107,105,119,168,222,242,281,364,459,409,406,457,445,475,493,431,450,471,530,546,595,697,667,
Belarus,57,73.4,86,109,141,196,222,279,349,288,341,318,364,455,448,361,297,332,350,400,420,484,529,
Belize,139,163,173,175,176,181,196,234,258,243,244,253,248,263,298,288,294,281,287,300,281,310,297,
Bolivia,42.9,44.9,43.5,46.4,46.4,51.8,56.1,63.6,78,89.6,100,120,135,160,179,196,207,215,231,241,249,276,307,
Brazil,314,272,248,253,298,388,490,608,714,729,906,1040,969,994,1030,796,810,955,880,868,681,768,849,
Barbados,622,643,689,808,942,963,1030,1040,1140,1160,1110,1160,1290,1250,1180,1150,1180,1180,1170,1170,1230,1390,1300,
